Day Index,Pageviews,Avg. Time on Page,Bounce Rate,Unique Pageviews
4/5/15,"4,981",0:03:31,79.67%,"4,174"
4/6/15,"6,133",0:03:11,78.75%,"5,102"
4/7/15,"5,868",0:03:30,79.85%,"4,985"
4/8/15,"5,572",0:03:24,80.83%,"4,754"
4/9/15,"5,581",0:03:08,80.53%,"4,714"
4/10/15,"4,506",0:03:21,79.98%,"3,767"
4/11/15,"3,641",0:03:05,77.36%,"3,066"
4/12/15,"4,014",0:03:20,79.31%,"3,421"
4/13/15,"5,491",0:03:51,79.39%,"4,651"
4/14/15,"5,479",0:03:40,80.22%,"4,620"
4/15/15,"5,494",0:03:23,80.02%,"4,589"
4/16/15,"4,999",0:03:18,80.84%,"4,284"
4/17/15,"5,639",0:03:17,80.60%,"4,859"
4/18/15,"4,153",0:02:57,77.61%,"3,509"
4/19/15,"4,357",0:03:09,78.45%,"3,690"
4/20/15,"5,832",0:03:08,79.75%,"4,989"
4/21/15,"5,341",0:03:26,80.21%,"4,521"
4/22/15,"5,376",0:03:08,80.11%,"4,550"
4/23/15,"5,265",0:03:30,80.56%,"4,576"
4/24/15,"4,518",0:03:23,79.94%,"3,823"
4/25/15,"4,149",0:03:06,78.09%,"3,351"
4/26/15,"4,832",0:02:31,79.07%,"3,642"
4/27/15,"7,512",0:03:19,80.62%,"6,326"
4/28/15,"6,298",0:03:33,79.14%,"5,406"
4/29/15,"6,775",0:02:53,78.01%,"5,497"
4/30/15,"5,991",0:02:48,79.80%,"4,788"
6/1/15,"5,801",0:03:24,79.60%,"4,933"
6/2/15,"6,104",0:03:35,78.42%,"5,162"
6/3/15,"9,019",0:03:18,86.99%,"8,016"
6/4/15,"6,065",0:03:47,81.42%,"5,192"
6/5/15,"5,026",0:03:39,78.98%,"4,222"
6/6/15,"3,389",0:03:40,78.46%,"2,855"
6/7/15,"4,390",0:03:34,80.21%,"3,816"
6/8/15,"6,332",0:03:30,81.92%,"5,480"
6/9/15,"6,351",0:03:18,80.57%,"5,447"
6/10/15,"5,934",0:03:29,80.46%,"4,994"
6/11/15,"6,085",0:03:29,80.89%,"5,171"
6/12/15,"5,595",0:03:28,79.05%,"4,706"
6/13/15,"4,261",0:03:18,75.80%,"3,484"
6/14/15,"4,958",0:03:00,76.20%,"4,188"
6/15/15,"6,589",0:03:21,78.57%,"5,597"
6/16/15,"6,493",0:03:25,78.78%,"5,503"
6/17/15,"7,101",0:03:26,80.90%,"6,024"
6/18/15,"6,604",0:03:13,79.65%,"5,583"
6/19/15,"6,461",0:03:17,82.31%,"5,603"
6/20/15,"4,422",0:03:16,81.47%,"3,751"
6/21/15,"4,722",0:03:15,80.05%,"4,073"
6/22/15,"8,610",0:03:13,83.84%,"7,613"
6/23/15,"6,845",0:03:22,81.25%,"5,957"
6/24/15,"6,628",0:03:21,79.64%,"5,691"
6/25/15,"7,677",0:03:29,82.43%,"6,699"
6/26/15,"5,542",0:03:17,81.17%,"4,767"
6/27/15,"5,019",0:03:25,81.20%,"4,294"
6/28/15,"4,750",0:03:21,78.99%,"3,978"
6/29/15,"7,458",0:03:35,81.91%,"6,481"
6/30/15,"6,766",0:03:28,80.53%,"5,852"
7/1/15,"5,951",0:03:33,80.14%,"5,105"
7/2/15,"6,575",0:03:18,80.50%,"5,658"
7/3/15,"5,207",0:03:27,79.66%,"4,444"
7/4/15,"3,683",0:03:35,77.44%,"3,073"
7/5/15,"4,205",0:03:30,78.63%,"3,591"
7/6/15,"6,171",0:03:41,79.98%,"5,210"
7/7/15,"6,453",0:03:39,80.30%,"5,480"
7/8/15,"7,175",0:03:06,80.60%,"6,057"
7/9/15,"6,536",0:03:15,80.94%,"5,631"
7/10/15,"5,387",0:03:31,80.26%,"4,653"
7/11/15,"4,632",0:02:50,78.37%,"3,571"
7/12/15,"4,237",0:03:35,79.01%,"3,639"
7/13/15,"6,503",0:03:26,81.09%,"5,618"
7/14/15,"6,355",0:03:19,80.00%,"5,397"
7/15/15,"6,024",0:03:36,80.62%,"5,204"
7/16/15,"5,995",0:03:21,79.63%,"5,102"
7/17/15,"5,010",0:02:57,80.27%,"4,315"
7/18/15,"3,683",0:03:26,78.27%,"3,110"
7/19/15,"4,163",0:03:22,78.96%,"3,508"
7/20/15,"6,263",0:03:23,79.84%,"5,387"
7/21/15,"6,550",0:03:14,79.58%,"5,582"
7/22/15,"8,034",0:03:17,82.39%,"6,987"
7/23/15,"7,455",0:03:38,82.83%,"6,531"
7/24/15,"6,178",0:03:23,81.84%,"5,309"
7/25/15,"3,876",0:03:37,80.95%,"3,310"
7/26/15,"4,512",0:03:16,79.76%,"3,852"
7/27/15,"6,732",0:03:26,80.48%,"5,792"
7/28/15,"6,356",0:03:29,80.97%,"5,492"
7/29/15,"6,061",0:04:15,80.24%,"5,202"
7/30/15,"5,698",0:03:23,80.56%,"4,845"
7/31/15,"5,860",0:03:20,79.37%,"4,874"
8/1/15,"3,827",0:04:05,78.54%,"3,178"
8/2/15,"4,358",0:03:23,79.54%,"3,718"
8/3/15,"6,408",0:03:29,80.84%,"5,489"
8/4/15,"6,065",0:03:35,80.89%,"5,207"
8/5/15,"6,047",0:03:21,80.33%,"5,171"
8/6/15,"5,768",0:03:54,79.92%,"4,915"
8/7/15,"4,883",0:03:40,79.39%,"4,145"
8/8/15,"3,617",0:03:31,78.16%,"3,044"
8/9/15,"4,219",0:03:17,78.13%,"3,632"
8/10/15,"6,523",0:03:29,77.80%,"5,539"
8/11/15,"5,975",0:03:26,79.53%,"5,192"
8/12/15,"5,924",0:03:29,80.20%,"5,046"
8/13/15,"5,924",0:03:31,79.13%,"5,072"
8/14/15,"4,866",0:03:39,81.00%,"4,077"
8/15/15,"3,520",0:03:03,78.49%,"2,971"
8/16/15,"4,176",0:03:09,78.16%,"3,530"
8/17/15,"5,762",0:03:35,79.25%,"4,915"
8/18/15,"5,840",0:03:17,80.69%,"5,047"
8/19/15,"5,584",0:03:34,80.08%,"4,822"
8/20/15,"5,620",0:03:42,80.10%,"4,833"
8/21/15,"4,856",0:03:13,78.49%,"4,142"
8/22/15,"3,663",0:03:31,77.50%,"3,111"
8/23/15,"4,170",0:03:47,77.15%,"3,496"
8/24/15,"5,946",0:03:26,79.96%,"5,086"
8/25/15,"5,988",0:03:26,80.48%,"5,155"
8/26/15,"5,795",0:03:39,79.46%,"4,925"
8/27/15,"5,591",0:03:25,80.20%,"4,766"
8/28/15,"4,793",0:03:31,80.15%,"4,107"
8/29/15,"3,511",0:03:28,78.05%,"2,945"
8/30/15,"4,212",0:03:21,78.22%,"3,618"
8/31/15,"6,004",0:03:25,80.44%,"5,130"
9/1/15,"6,127",0:03:36,80.74%,"5,238"
9/2/15,"6,022",0:03:45,79.94%,"5,182"
9/3/15,"5,938",0:03:18,80.25%,"5,058"
9/4/15,"4,913",0:03:37,79.85%,"4,219"
9/5/15,"3,915",0:03:22,77.29%,"3,243"
9/6/15,"4,786",0:03:16,79.42%,"3,971"
9/7/15,"6,007",0:03:17,79.60%,"5,092"
9/8/15,"7,522",0:03:24,83.10%,"6,624"
9/9/15,"6,549",0:03:28,80.86%,"5,633"
9/10/15,"6,419",0:03:12,81.36%,"5,495"
9/11/15,"5,146",0:03:31,81.00%,"4,485"
9/12/15,"3,947",0:03:35,80.25%,"3,373"
9/13/15,"4,493",0:03:42,80.25%,"3,849"
9/14/15,"6,412",0:03:40,80.83%,"5,494"
9/15/15,"6,394",0:03:32,80.60%,"5,473"
9/16/15,"6,358",0:03:32,80.82%,"5,451"
9/17/15,"6,111",0:03:15,79.68%,"5,214"
9/18/15,"5,123",0:03:49,80.63%,"4,422"
9/19/15,"3,903",0:03:24,78.87%,"3,305"
9/20/15,"4,168",0:03:15,79.63%,"3,580"
9/21/15,"7,022",0:03:20,81.74%,"6,077"
9/22/15,"7,430",0:03:19,78.93%,"6,329"
9/23/15,"6,435",0:03:32,79.76%,"5,546"
9/24/15,"6,200",0:03:21,80.90%,"5,342"
9/25/15,"5,374",0:03:29,79.99%,"4,584"
9/26/15,"3,828",0:03:46,77.77%,"3,293"
9/27/15,"4,306",0:03:27,79.11%,"3,686"
9/28/15,"6,345",0:03:52,80.44%,"5,461"
9/29/15,"6,202",0:03:30,81.03%,"5,371"
9/30/15,"5,999",0:03:32,79.17%,"5,141"
10/1/15,"5,852",0:03:24,79.64%,"4,948"
10/2/15,"5,046",0:03:47,79.82%,"4,286"
10/3/15,"3,759",0:03:48,79.30%,"3,202"
10/4/15,"4,254",0:03:23,80.59%,"3,622"
10/5/15,"6,376",0:03:40,80.07%,"5,420"
10/6/15,"6,713",0:03:15,80.77%,"5,736"
10/7/15,"5,932",0:03:43,82.09%,"5,216"
10/8/15,"6,097",0:03:38,81.03%,"5,256"
10/9/15,"5,454",0:03:34,81.11%,"4,727"
10/10/15,"3,816",0:03:55,78.36%,"3,323"
10/11/15,"4,514",0:03:30,79.06%,"3,819"
10/12/15,"6,075",0:03:45,80.22%,"5,281"
10/13/15,"6,265",0:03:31,80.16%,"5,388"
10/14/15,"6,151",0:03:47,80.97%,"5,318"
10/15/15,"6,088",0:03:15,81.32%,"5,270"
10/16/15,"5,431",0:03:36,79.96%,"4,598"
10/17/15,"4,255",0:03:29,78.95%,"3,615"
10/18/15,"4,755",0:03:48,80.16%,"4,120"
10/19/15,"6,536",0:03:26,81.17%,"5,649"
10/20/15,"6,149",0:03:45,81.90%,"5,352"
10/21/15,"6,069",0:03:32,80.16%,"5,188"
10/22/15,"5,861",0:03:42,80.49%,"5,032"
10/23/15,"5,201",0:04:04,81.05%,"4,529"
10/24/15,"3,890",0:03:36,79.06%,"3,283"
10/25/15,"4,607",0:03:31,79.25%,"3,882"
10/26/15,"6,669",0:03:43,79.77%,"5,719"
10/27/15,"15,025",0:03:40,83.72%,"12,976"
10/28/15,"11,464",0:03:51,83.18%,"9,924"
10/29/15,"9,628",0:04:03,82.28%,"8,366"
10/30/15,"7,091",0:03:54,81.32%,"6,206"
10/31/15,"4,939",0:03:40,80.19%,"4,229"
11/1/15,"5,752",0:03:27,81.38%,"4,948"
11/2/15,"7,784",0:03:27,81.07%,"6,684"
11/3/15,"7,477",0:03:40,81.40%,"6,367"
11/4/15,"6,937",0:03:44,81.93%,"5,987"
11/5/15,"6,748",0:03:45,81.27%,"5,867"
11/6/15,"5,858",0:03:54,81.35%,"5,060"
11/7/15,"4,728",0:03:36,79.51%,"4,010"
11/8/15,"5,432",0:03:20,79.48%,"4,584"
11/9/15,"6,847",0:04:01,80.52%,"5,878"
11/10/15,"6,345",0:03:55,82.48%,"5,541"
11/11/15,"6,360",0:03:42,82.42%,"5,544"
11/12/15,"6,257",0:03:46,81.98%,"5,412"
11/13/15,"5,341",0:03:58,81.45%,"4,641"
11/14/15,"4,187",0:03:33,79.28%,"3,599"
11/15/15,"4,829",0:03:42,80.40%,"4,205"
11/16/15,"7,054",0:03:28,80.68%,"6,141"
11/17/15,"7,116",0:03:21,80.69%,"6,189"
11/18/15,"6,895",0:03:34,81.96%,"5,991"
11/19/15,"6,831",0:03:40,81.54%,"5,943"
11/20/15,"5,996",0:04:05,80.58%,"5,179"
11/21/15,"4,553",0:03:36,80.04%,"3,854"
11/22/15,"5,622",0:03:46,77.81%,"4,758"
11/23/15,"7,119",0:03:41,81.69%,"6,186"
11/24/15,"6,933",0:03:38,81.62%,"6,055"
11/25/15,"6,779",0:03:26,81.17%,"5,681"
11/26/15,"5,924",0:03:42,80.59%,"5,039"
11/27/15,"5,070",0:03:47,80.82%,"4,409"
11/28/15,"4,197",0:03:45,81.40%,"3,681"
11/29/15,"5,100",0:03:23,80.68%,"4,351"
11/30/15,"8,856",0:03:29,81.33%,"7,671"
12/1/15,"7,978",0:03:25,80.57%,"6,857"
12/2/15,"7,260",0:03:35,82.64%,"6,340"
12/3/15,"8,587",0:03:56,80.80%,"7,406"
12/4/15,"6,742",0:03:35,80.94%,"5,838"
12/5/15,"4,801",0:04:06,79.23%,"4,127"
12/6/15,"5,215",0:04:08,81.41%,"4,504"
12/7/15,"7,264",0:03:53,82.11%,"6,346"
12/8/15,"6,889",0:03:37,82.57%,"6,009"
12/9/15,"6,797",0:03:35,83.09%,"6,004"
12/10/15,"6,673",0:04:11,82.17%,"5,851"
12/11/15,"5,740",0:03:41,81.75%,"4,999"
12/12/15,"4,068",0:03:51,80.58%,"3,501"
12/13/15,"4,955",0:03:58,80.24%,"4,276"
12/14/15,"7,226",0:03:49,81.36%,"6,260"
12/15/15,"7,343",0:03:53,82.09%,"6,382"
12/16/15,"6,895",0:03:33,80.92%,"5,991"
12/17/15,"6,383",0:03:36,80.88%,"5,559"
12/18/15,"5,567",0:03:47,81.01%,"4,801"
12/19/15,"4,304",0:03:36,79.25%,"3,684"
12/20/15,"5,078",0:03:40,79.56%,"4,326"
12/21/15,"6,739",0:03:48,81.93%,"5,887"
12/22/15,"6,495",0:03:43,81.66%,"5,596"
12/23/15,"6,119",0:03:32,79.31%,"5,152"
12/24/15,"4,402",0:03:28,80.74%,"3,829"
12/25/15,"3,721",0:03:22,79.95%,"3,167"
12/26/15,"3,706",0:03:24,79.89%,"3,157"
12/27/15,"5,105",0:03:24,77.57%,"4,347"
12/28/15,"5,880",0:03:28,80.39%,"5,890"
12/29/15,"6,703",0:03:34,80.31%,"5,789"
12/30/15,"5,846",0:03:34,79.87%,"5,075"
12/31/15,"4,061",0:03:30,80.34%,"3,503"
1/1/16,"4,051",0:03:27,79.15%,"3,388"
1/2/16,"4,826",0:03:26,78.87%,"4,045"
1/3/16,"5,281",0:03:29,79.83%,"4,502"
1/4/16,"7,210",0:03:37,80.81%,"6,243"
1/5/16,"7,021",0:03:49,81.58%,"6,083"
1/6/16,"7,982",0:03:43,81.48%,"6,917"
1/7/16,"8,162",0:03:33,81.49%,"7,074"
1/8/16,"6,398",0:03:53,81.49%,"5,578"
1/9/16,"4,781",0:03:54,79.54%,"4,073"
1/10/16,"5,512",0:03:40,79.92%,"4,708"
1/11/16,"7,801",0:03:33,81.81%,"6,814"
1/12/16,"7,633",0:03:58,82.04%,"6,620"
1/13/16,"7,624",0:03:49,81.90%,"6,604"
1/14/16,"7,597",0:03:48,82.36%,"6,563"
1/15/16,"6,787",0:03:43,81.09%,"5,800"
1/16/16,"5,090",0:03:29,79.97%,"4,372"
1/17/16,"5,867",0:03:41,80.70%,"4,996"
1/18/16,"8,235",0:03:16,82.77%,"6,825"
1/19/16,"8,382",0:03:44,81.55%,"7,217"
1/20/16,"7,852",0:03:54,81.39%,"6,721"
1/21/16,"8,593",0:03:34,79.94%,"7,495"
1/22/16,"7,802",0:03:17,79.08%,"6,761"
1/23/16,"5,200",0:03:40,79.60%,"4,473"
1/24/16,"5,778",0:03:59,80.42%,"4,953"
1/25/16,"7,739",0:03:46,82.38%,"6,663"
1/26/16,"7,932",0:03:52,81.73%,"6,899"
1/27/16,"7,878",0:04:03,83.04%,"6,918"
1/28/16,"7,488",0:04:08,82.88%,"6,556"
1/29/16,"6,637",0:03:45,81.56%,"5,748"
1/30/16,"5,101",0:04:09,80.30%,"4,342"
1/31/16,"5,911",0:03:49,81.35%,"5,051"
2/1/16,"7,854",0:04:07,82.95%,"6,883"
2/2/16,"8,191",0:03:56,81.75%,"7,058"
2/3/16,"7,945",0:03:55,82.33%,"6,870"
2/4/16,"7,757",0:04:06,82.23%,"6,710"
2/5/16,"6,766",0:03:51,81.52%,"5,919"
2/6/16,"5,414",0:03:32,79.42%,"4,575"
2/7/16,"5,254",0:03:36,81.12%,"4,536"
2/8/16,"7,881",0:03:44,81.05%,"6,801"
2/9/16,"7,911",0:04:09,81.90%,"6,828"
2/10/16,"7,882",0:04:27,82.14%,"6,818"
2/11/16,"7,656",0:03:57,81.84%,"6,670"
2/12/16,"6,702",0:04:01,81.92%,"5,863"
2/13/16,"4,901",0:03:55,79.20%,"4,231"
2/14/16,"5,629",0:04:20,80.00%,"4,777"
2/15/16,"7,913",0:04:14,82.13%,"6,913"
2/16/16,"8,606",0:03:48,81.78%,"7,397"
2/17/16,"8,511",0:03:56,82.29%,"7,377"
2/18/16,"8,288",0:03:51,81.87%,"7,185"
2/19/16,"6,971",0:04:06,82.82%,"6,100"
2/20/16,"5,642",0:04:00,80.61%,"4,873"
2/21/16,"7,541",0:03:31,78.80%,"6,453"
2/22/16,"10,319",0:04:01,82.88%,"9,047"
2/23/16,"9,329",0:04:04,82.47%,"8,153"
2/24/16,"9,705",0:03:40,79.71%,"8,308"
2/25/16,"9,427",0:03:43,82.03%,"8,159"
2/26/16,"7,334",0:03:58,82.22%,"6,399"
2/27/16,"5,937",0:04:08,80.83%,"5,078"
2/28/16,"6,508",0:03:46,81.36%,"5,618"
2/29/16,"8,473",0:04:06,82.05%,"7,412"
3/1/16,"8,539",0:03:57,82.09%,"7,334"
3/2/16,"8,952",0:03:56,83.08%,"7,822"
3/3/16,"8,589",0:04:06,81.92%,"7,425"
3/4/16,"7,408",0:03:51,81.03%,"6,290"
3/5/16,"5,625",0:04:13,79.64%,"4,807"
3/6/16,"6,571",0:04:11,79.82%,"5,602"
3/7/16,"8,446",0:04:18,82.41%,"7,392"
3/8/16,"8,521",0:04:08,81.94%,"7,400"
3/9/16,"9,103",0:03:46,81.90%,"7,924"
3/10/16,"9,319",0:03:55,82.24%,"8,100"
3/11/16,"7,189",0:03:55,82.89%,"6,287"
3/12/16,"5,356",0:04:01,81.58%,"4,678"
3/13/16,"5,743",0:04:02,80.78%,"4,939"
3/14/16,"8,329",0:03:55,82.38%,"7,216"
3/15/16,"8,300",0:04:00,83.60%,"7,240"
3/16/16,"8,329",0:04:16,83.49%,"7,232"
3/17/16,"8,049",0:04:22,82.83%,"7,033"
