Day Index,Pageviews,Avg. Time on Page,Bounce Rate,Unique Pageviews
1/30/17,"10,045",0:04:07,84.51%,"8,860"
1/31/17,"10,383",0:04:14,83.92%,"9,179"
2/1/17,"10,609",0:04:25,84.32%,"9,217"
2/2/17,"10,459",0:04:14,83.55%,"9,187"
2/3/17,"9,183",0:04:07,83.51%,"8,060"
2/4/17,"7,060",0:04:18,83.22%,"6,149"
2/5/17,"7,681",0:04:22,83.35%,"6,773"
2/6/17,"10,897",0:04:25,84.07%,"9,620"
2/7/17,"10,743",0:04:21,84.23%,"9,480"
2/8/17,"10,529",0:04:10,83.77%,"9,229"
2/9/17,"10,370",0:04:33,84.59%,"9,158"
2/10/17,"8,764",0:04:25,83.46%,"7,664"
2/11/17,"6,312",0:04:25,82.14%,"5,472"
2/12/17,"7,624",0:04:31,83.40%,"6,706"
2/13/17,"10,131",0:04:32,84.53%,"8,949"
2/14/17,"9,703",0:04:39,84.74%,"8,634"
,,,,
2/15/17,"10,117",0:04:20,84.46%,"8,937"
2/16/17,"10,341",0:04:03,83.93%,"9,136"
2/17/17,"9,153",0:04:20,83.94%,"8,022"
2/18/17,"7,048",0:04:30,82.53%,"6,086"
2/19/17,"8,232",0:03:47,82.65%,"6,895"
2/20/17,"10,255",0:04:15,84.52%,"9,011"
2/21/17,"10,100",0:04:44,84.03%,"8,919"
2/22/17,"10,686",0:04:17,83.84%,"9,387"
2/23/17,"10,127",0:04:17,83.90%,"8,925"
2/24/17,"8,764",0:04:07,83.92%,"7,577"
2/25/17,"6,777",0:04:07,83.02%,"5,895"
2/26/17,"7,299",0:04:03,81.26%,"6,308"
2/27/17,"10,314",0:04:06,83.75%,"9,035"
2/28/17,"10,741",0:04:09,84.93%,"9,506"
3/1/17,"10,837",0:04:14,84.56%,"9,501"
3/2/17,"11,118",0:04:13,83.56%,"9,769"
3/3/17,"8,975",0:04:25,85.29%,"7,947"
3/4/17,"6,671",0:04:32,83.71%,"5,829"
3/5/17,"7,687",0:04:28,83.49%,"6,740"
3/6/17,"11,074",0:04:24,83.92%,"9,710"
3/7/17,"10,742",0:03:57,84.26%,"9,458"
3/8/17,"10,371",0:04:27,83.47%,"9,107"
3/9/17,"9,922",0:04:28,85.46%,"8,792"
3/10/17,"8,628",0:03:48,83.63%,"7,565"
3/11/17,"7,094",0:04:03,82.00%,"6,184"
3/12/17,"7,096",0:04:23,83.62%,"6,256"
3/13/17,"10,320",0:04:31,84.24%,"9,150"
3/14/17,"11,020",0:04:20,84.21%,"9,689"
3/15/17,"10,755",0:04:09,84.75%,"9,500"
3/16/17,"9,984",0:04:17,84.72%,"8,866"
3/17/17,"8,578",0:04:23,84.86%,"7,625"
3/18/17,"6,716",0:04:15,82.52%,"5,802"
3/19/17,"7,253",0:04:10,83.37%,"6,375"
3/20/17,"10,369",0:04:36,83.87%,"9,142"
3/21/17,"10,550",0:04:12,85.00%,"9,281"
3/22/17,"10,093",0:04:28,84.82%,"8,911"
3/23/17,"9,872",0:04:56,84.51%,"8,696"
3/24/17,"8,758",0:04:50,84.28%,"7,665"
3/25/17,"6,664",0:04:05,82.63%,"5,712"
3/26/17,"7,263",0:04:55,83.82%,"6,267"
3/27/17,"10,662",0:04:33,84.04%,"9,373"
3/28/17,"10,307",0:03:54,85.20%,"9,140"
3/29/17,"11,770",0:04:11,85.59%,"10,424"
3/30/17,"11,856",0:04:12,84.32%,"10,480"
3/31/17,"9,792",0:04:10,84.26%,"8,592"
4/1/17,"6,838",0:04:10,82.45%,"5,980"
4/2/17,"7,702",0:04:22,83.70%,"6,738"
4/3/17,"10,917",0:04:24,84.89%,"9,666"
4/4/17,"10,220",0:04:35,84.29%,"9,003"
4/5/17,"10,105",0:04:43,83.87%,"8,889"
4/6/17,"10,318",0:04:15,83.29%,"8,955"
4/7/17,"8,729",0:04:23,84.33%,"7,634"
4/8/17,"6,501",0:04:15,83.51%,"5,705"
4/9/17,"7,103",0:03:52,82.84%,"6,221"
4/10/17,"10,736",0:04:24,84.77%,"9,453"
4/11/17,"10,449",0:04:21,83.54%,"9,193"
4/12/17,"9,891",0:04:16,84.39%,"8,726"
4/13/17,"9,188",0:03:46,84.06%,"8,032"
4/14/17,"7,659",0:04:18,83.56%,"6,701"
4/15/17,"6,031",0:04:35,82.79%,"5,196"
4/16/17,"6,608",0:04:23,83.19%,"5,689"
4/17/17,"9,349",0:04:09,84.14%,"8,187"
4/18/17,"10,088",0:04:17,84.96%,"8,883"
4/19/17,"10,673",0:04:16,84.36%,"9,462"
4/20/17,"10,240",0:04:28,84.59%,"9,054"
4/21/17,"8,487",0:04:14,84.46%,"7,490"
4/22/17,"6,259",0:04:22,82.63%,"5,443"
4/23/17,"7,151",0:04:02,82.86%,"6,240"
4/24/17,"9,472",0:04:28,85.00%,"8,355"
4/25/17,"10,167",0:04:11,85.07%,"8,933"
4/26/17,"9,965",0:04:30,83.96%,"8,776"
4/27/17,"9,595",0:04:38,84.19%,"8,474"
4/28/17,"8,101",0:04:16,84.40%,"7,135"
4/29/17,"5,765",0:04:52,82.98%,"5,023"
4/30/17,"6,239",0:03:55,83.25%,"5,385"
5/1/17,"8,121",0:04:18,84.03%,"7,065"
5/2/17,"10,934",0:04:16,84.81%,"9,691"
5/3/17,"11,203",0:03:58,83.35%,"9,788"
5/4/17,"10,548",0:04:13,85.09%,"9,372"
5/5/17,"8,980",0:04:05,84.56%,"7,921"
5/6/17,"6,589",0:04:04,83.38%,"5,706"
5/7/17,"6,989",0:04:27,84.32%,"6,189"
5/8/17,"10,857",0:04:18,84.92%,"9,635"
5/9/17,"10,447",0:04:12,84.21%,"9,153"
5/10/17,"10,089",0:04:13,85.13%,"8,924"
5/11/17,"9,912",0:04:23,84.75%,"8,797"
5/12/17,"8,389",0:04:12,84.72%,"7,377"
5/13/17,"6,151",0:04:07,83.49%,"5,373"
5/14/17,"6,857",0:04:24,83.13%,"6,030"
5/15/17,"10,595",0:04:17,84.86%,"9,336"
5/16/17,"10,343",0:04:10,84.67%,"9,095"
5/17/17,"9,810",0:04:18,84.68%,"8,648"
5/18/17,"9,676",0:04:12,84.25%,"8,572"
5/19/17,"8,319",0:04:21,84.96%,"7,355"
5/20/17,"5,590",0:03:51,82.87%,"4,873"
5/21/17,"6,330",0:04:40,83.70%,"5,578"
5/22/17,"9,868",0:04:18,85.21%,"8,765"
5/23/17,"9,965",0:04:24,84.42%,"8,774"
5/24/17,"9,768",0:04:26,84.91%,"8,635"
5/25/17,"9,434",0:04:25,84.30%,"8,270"
5/26/17,"8,037",0:04:00,83.99%,"7,093"
5/27/17,"5,390",0:04:24,83.72%,"4,757"
5/28/17,"6,081",0:03:49,83.60%,"5,308"
5/29/17,"8,553",0:04:17,84.31%,"7,546"
5/30/17,"10,247",0:04:17,84.34%,"9,087"
5/31/17,"10,057",0:04:14,83.84%,"8,819"
6/1/17,"9,368",0:04:29,84.67%,"8,288"
6/2/17,"8,301",0:04:17,84.45%,"7,322"
6/3/17,"5,496",0:04:27,84.27%,"4,819"
6/4/17,"6,346",0:04:09,84.07%,"5,581"
6/5/17,"9,507",0:04:19,85.43%,"8,390"
6/6/17,"9,944",0:04:26,84.79%,"8,731"
6/7/17,"10,432",0:04:21,85.17%,"9,269"
6/8/17,"27,449",0:03:52,87.84%,"25,001"
6/9/17,"16,055",0:04:09,86.51%,"14,422"
6/10/17,"8,183",0:04:30,85.06%,"7,210"
6/11/17,"7,622",0:04:23,84.55%,"6,707"
6/12/17,"10,854",0:04:54,85.45%,"9,581"
6/13/17,"10,879",0:04:28,84.39%,"9,511"
6/14/17,"10,386",0:04:29,85.08%,"9,138"
6/15/17,"9,957",0:03:57,84.67%,"8,749"
6/16/17,"8,700",0:04:12,84.15%,"7,620"
6/17/17,"5,750",0:04:32,81.74%,"4,930"
6/18/17,"6,650",0:04:01,84.15%,"5,872"
6/19/17,"10,064",0:04:13,85.58%,"8,887"
6/20/17,"10,397",0:04:34,84.69%,"9,098"
6/21/17,"10,089",0:04:19,84.60%,"8,889"
6/22/17,"9,483",0:04:39,85.25%,"8,390"
6/23/17,"8,086",0:04:10,84.59%,"7,130"
6/24/17,"5,607",0:04:24,83.07%,"4,867"
6/25/17,"5,975",0:04:14,83.46%,"5,234"
6/26/17,"9,684",0:04:31,84.18%,"8,476"
6/27/17,"9,732",0:04:06,84.79%,"8,626"
6/28/17,"10,002",0:04:21,84.63%,"8,766"
6/29/17,"9,334",0:04:17,84.98%,"8,199"
6/30/17,"7,982",0:04:08,85.18%,"6,972"
7/1/17,"5,409",0:04:31,83.81%,"4,753"
7/2/17,"6,100",0:04:22,83.63%,"5,307"
7/3/17,"9,143",0:04:19,84.91%,"8,069"
7/4/17,"8,910",0:04:18,84.16%,"7,845"
7/5/17,"9,753",0:04:40,84.38%,"8,605"
7/6/17,"9,991",0:04:10,83.82%,"8,751"
7/7/17,"8,185",0:04:08,85.65%,"7,258"
7/8/17,"5,607",0:04:23,83.02%,"4,870"
7/9/17,"6,568",0:04:04,83.02%,"5,712"
7/10/17,"10,040",0:04:49,85.23%,"8,842"
7/11/17,"10,234",0:04:33,84.34%,"9,018"
7/12/17,"9,672",0:04:34,85.49%,"8,553"
7/13/17,"9,435",0:03:59,84.44%,"8,355"
7/14/17,"8,029",0:04:00,85.02%,"7,034"
7/15/17,"5,517",0:04:27,84.05%,"4,851"
7/16/17,"6,529",0:04:38,83.19%,"5,705"
7/17/17,"10,026",0:04:26,85.19%,"8,876"
7/18/17,"9,870",0:04:16,84.52%,"8,648"
7/19/17,"9,644",0:04:31,85.20%,"8,521"
7/20/17,"9,540",0:03:56,84.88%,"8,447"
7/21/17,"8,075",0:04:09,84.22%,"7,065"
7/22/17,"5,638",0:04:14,83.49%,"4,884"
7/23/17,"6,231",0:04:44,84.29%,"5,488"
7/24/17,"9,719",0:04:37,84.90%,"8,556"
7/25/17,"10,029",0:04:17,84.11%,"8,759"
7/26/17,"9,603",0:04:23,83.84%,"8,417"
7/27/17,"9,047",0:04:21,84.59%,"7,990"
7/28/17,"7,987",0:04:14,85.04%,"7,094"
7/29/17,"5,382",0:04:04,83.62%,"4,693"
7/30/17,"6,183",0:03:59,82.60%,"5,386"
7/31/17,"9,409",0:04:11,84.93%,"8,325"
8/1/17,"9,444",0:04:40,84.25%,"8,364"
8/2/17,"9,926",0:03:58,84.20%,"8,624"
8/3/17,"9,092",0:04:14,84.97%,"8,051"
8/4/17,"7,971",0:04:14,84.31%,"6,945"
8/5/17,"5,424",0:04:32,83.35%,"4,685"
8/6/17,"6,142",0:04:26,83.34%,"5,369"
8/7/17,"9,431",0:04:05,84.97%,"8,222"
8/8/17,"9,684",0:04:05,84.54%,"8,536"
8/9/17,"9,503",0:04:27,84.80%,"8,394"
8/10/17,"9,166",0:04:29,84.68%,"8,047"
8/11/17,"8,023",0:03:46,84.79%,"6,966"
8/12/17,"5,580",0:04:04,83.23%,"4,858"
8/13/17,"6,039",0:04:08,83.27%,"5,255"
8/14/17,"8,651",0:04:38,85.68%,"7,608"
8/15/17,"8,467",0:04:24,84.63%,"7,417"
8/16/17,"9,189",0:04:21,85.48%,"8,104"
8/17/17,"9,162",0:04:16,84.77%,"8,148"
8/18/17,"7,817",0:04:26,84.12%,"6,881"
8/19/17,"5,444",0:04:06,83.58%,"4,762"
8/20/17,"6,217",0:04:03,83.91%,"5,478"
8/21/17,"9,144",0:04:25,86.03%,"8,138"
8/22/17,"9,797",0:04:23,84.76%,"8,654"
8/23/17,"8,975",0:04:36,85.92%,"7,975"
8/24/17,"8,205",0:04:12,85.18%,"7,255"
8/25/17,"7,619",0:03:58,84.01%,"6,710"
8/26/17,"5,430",0:04:18,83.08%,"4,723"
8/27/17,"6,384",0:04:05,83.83%,"5,503"
8/28/17,"9,523",0:03:57,84.95%,"8,398"
8/29/17,"9,807",0:03:59,85.64%,"8,730"
8/30/17,"9,586",0:04:23,85.12%,"8,456"
8/31/17,"9,035",0:04:31,86.40%,"8,121"
9/1/17,"7,824",0:04:23,85.51%,"6,974"
9/2/17,"5,876",0:03:44,82.92%,"4,919"
9/3/17,"6,307",0:04:17,84.28%,"5,460"
9/4/17,"8,679",0:04:18,85.12%,"7,685"
9/5/17,"10,411",0:04:04,85.34%,"9,228"
9/6/17,"9,879",0:04:44,85.49%,"8,762"
9/7/17,"9,750",0:04:46,85.98%,"8,716"
9/8/17,"9,426",0:03:50,85.51%,"8,341"
9/9/17,"5,997",0:04:16,84.27%,"5,191"
9/10/17,"6,661",0:04:23,84.51%,"5,897"
9/11/17,"10,137",0:04:30,85.91%,"8,926"
9/12/17,"9,876",0:04:07,86.36%,"8,811"
9/13/17,"10,355",0:04:31,85.38%,"9,169"
9/14/17,"9,858",0:04:13,86.51%,"8,732"
9/15/17,"8,809",0:04:15,84.48%,"7,700"
9/16/17,"6,283",0:04:17,83.91%,"5,456"
9/17/17,"6,932",0:04:20,84.02%,"6,073"
9/18/17,"10,533",0:04:18,84.81%,"9,286"
9/19/17,"10,898",0:04:16,86.14%,"9,732"
9/20/17,"11,332",0:04:19,85.46%,"9,997"
9/21/17,"10,499",0:04:21,86.06%,"9,292"
9/22/17,"9,243",0:04:08,85.53%,"8,058"
9/23/17,"6,579",0:04:13,83.98%,"5,737"
9/24/17,"7,280",0:04:27,84.93%,"6,416"
9/25/17,"12,233",0:04:31,85.00%,"10,818"
9/26/17,"11,380",0:04:27,85.62%,"10,097"
9/27/17,"11,016",0:04:17,86.08%,"9,849"
9/28/17,"10,607",0:04:10,85.87%,"9,428"
9/29/17,"9,041",0:04:33,86.07%,"8,119"
9/30/17,"6,421",0:04:30,85.23%,"5,663"
10/1/17,"6,903",0:04:41,85.03%,"6,161"
10/2/17,"10,621",0:04:17,86.18%,"9,442"
10/3/17,"11,129",0:04:42,86.52%,"9,910"
10/4/17,"10,444",0:04:49,85.60%,"9,331"
10/5/17,"10,492",0:04:33,85.40%,"9,325"
10/6/17,"10,010",0:03:29,85.65%,"8,355"
10/7/17,"7,009",0:04:22,84.02%,"6,155"
10/8/17,"7,430",0:04:33,85.17%,"6,599"
10/9/17,"11,355",0:04:16,85.00%,"9,981"
10/10/17,"11,481",0:04:48,86.24%,"10,198"
10/11/17,"11,701",0:03:58,85.69%,"10,223"
10/12/17,"10,985",0:04:25,86.17%,"9,820"
10/13/17,"9,579",0:04:10,85.40%,"8,497"
10/14/17,"6,928",0:03:47,84.33%,"6,033"
10/15/17,"7,384",0:04:25,85.21%,"6,559"
10/16/17,"11,594",0:04:28,85.49%,"10,273"
10/17/17,"11,191",0:04:28,85.54%,"9,899"
10/18/17,"10,887",0:04:23,85.30%,"9,674"
10/19/17,"10,338",0:04:15,85.58%,"9,175"
10/20/17,"9,217",0:04:13,86.11%,"8,180"
10/21/17,"6,739",0:04:14,84.08%,"5,871"
10/22/17,"7,753",0:04:26,84.63%,"6,796"
10/23/17,"11,583",0:04:22,85.89%,"10,308"
10/24/17,"11,370",0:04:12,85.36%,"10,116"
10/25/17,"11,605",0:04:14,85.79%,"10,312"
10/26/17,"11,378",0:04:18,85.63%,"10,048"
10/27/17,"9,369",0:04:16,85.73%,"8,345"
10/28/17,"7,034",0:04:32,83.64%,"6,149"
10/29/17,"7,638",0:04:43,84.19%,"6,741"
10/30/17,"11,672",0:04:21,85.69%,"10,364"
10/31/17,"10,829",0:04:20,85.94%,"9,588"
11/1/17,"10,368",0:04:42,85.76%,"9,205"
11/2/17,"10,864",0:04:31,85.95%,"9,687"
11/3/17,"9,631",0:04:41,85.44%,"9,632"
11/4/17,"6,653",0:04:28,85.72%,"5,875"
11/5/17,"8,278",0:04:26,84.39%,"7,217"
11/6/17,"11,296",0:04:39,85.92%,"10,044"
11/7/17,"11,260",0:04:22,86.08%,"10,009"
11/8/17,"11,583",0:04:41,85.66%,"10,210"
11/9/17,"11,779",0:03:50,85.26%,"10,413"
11/10/17,"9,423",0:04:35,85.04%,"8,323"
11/11/17,"6,897",0:04:18,84.04%,"6,020"
11/12/17,"8,326",0:04:21,83.91%,"7,260"
11/13/17,"11,875",0:04:42,85.36%,"10,532"
11/14/17,"11,874",0:04:31,85.88%,"10,611"
11/15/17,"11,593",0:04:26,86.35%,"10,246"
11/16/17,"11,423",0:04:28,85.62%,"10,158"
11/17/17,"9,781",0:04:20,85.06%,"8,595"
11/18/17,"6,975",0:04:46,84.09%,"6,072"
11/19/17,"8,124",0:04:33,85.05%,"7,215"
11/20/17,"11,849",0:04:31,86.17%,"10,498"
11/21/17,"11,397",0:04:40,86.27%,"10,142"
11/22/17,"11,041",0:04:02,85.77%,"9,826"
11/23/17,"9,444",0:04:26,85.55%,"8,377"
11/24/17,"8,325",0:04:41,85.71%,"7,373"
11/25/17,"6,643",0:04:54,85.00%,"5,828"
11/26/17,"8,014",0:04:42,85.02%,"7,110"
11/27/17,"11,948",0:04:20,84.76%,"10,561"
11/28/17,"11,707",0:04:41,85.54%,"10,385"
11/29/17,"11,491",0:04:41,85.66%,"10,216"
11/30/17,"10,548",0:04:24,85.99%,"9,399"
12/1/17,"9,140",0:04:37,85.96%,"8,120"
12/2/17,"6,522",0:04:39,85.61%,"5,713"
12/3/17,"7,810",0:04:19,85.51%,"6,945"
12/4/17,"11,128",0:05:00,86.04%,"9,968"
12/5/17,"11,187",0:04:30,85.87%,"9,898"
12/6/17,"10,827",0:04:34,85.70%,"9,591"
12/7/17,"10,734",0:04:43,85.79%,"9,555"
12/8/17,"9,175",0:04:12,84.74%,"8,087"
12/9/17,"6,899",0:03:44,84.59%,"6,055"
12/10/17,"8,115",0:04:32,85.34%,"7,216"
12/11/17,"15,022",0:04:08,87.05%,"13,367"
12/12/17,"12,947",0:04:15,86.49%,"11,600"
,,,,